first_name,last_name,email,phone,age,city,country,order_date,product_id,quantity,unit_price
Elif,Polat,elif.polat21@example.com,0531-000-0021,39,Antalya,TR,2026-01-22,121,2,53.77
Murat,Demir,murat.demir22@example.com,(532) 000-0022,40,Eskisehir,TR,2026-01-23,122,3,55.14
selin,Celik,selin.celik23@example.com,5330000023,41,Adana,TR,2026-01-24,123,4,56.51
Can,Sahin,can.sahin24@example.com,5340000024,42,Ankara,TR,2026-01-25,124,5,57.88
Deniz,Koc,deniz.koc25@example.com,+90 535 000 0025,43,Istanbul,TR,2026-01-26,125,1,59.25
Ece,Erdem,ece.erdem26@example.com,5360000026,44,IZMIR,TR,2026-01-27,126,2,60.62
Burak,Kara,burak.kara27@example.com,5370000027,45,Bursa,Turkey,2026-01-28,127,3,61.99
Derya,Veli,derya.veli28@example.com,0538-000-0028,46,Konya,TR,2026-01-29,128,4,63.36
Kerem,  OZ  ,kerem.oz29@example.com,,47,Antalya,TR,2026-01-30,129,5,64.73
Seda,Aydin,seda.aydin30@example.com,+90 540 000 0030,48,Eskisehir,TR,2026-01-31,130,1,66.10
Yusuf,Yilmaz,,5410000031,49,Adana,TR,2026-02-01,131,2,67.47
Enes,Yildiz,enes.yildiz32@example.com,5420000032,50,Ankara,TR,2026-02-02,132,3,68.84
Ayse,Ak,ayse.ak33@example.com,(543) 000-0033,51,Istanbul,TR,2026-02-03,133,4,70.21
  MEHMET  ,Can,mehmet.can34@example.com,5440000034,52,  izmir ,TR,2026-02-04,134,5,71.58
Zeynep,Arslan,zeynep.arslan35@example.com,+90 545 000 0035,53,Bursa,TR,2026-02-05,135,1,72.95
Ali,Kaya,ali.kaya36@example.com,5460000036,54,Konya,Turkey,2026-02-06,136,2,74.32
Elif,Polat,elif.polat37[at]example.com,5470000037,55,Antalya,TR,2026-02-07,137,3,75.69
Murat,Demir,murat.demir38@example.com,5480000038,56,,TR,2026-02-08,138,4,77.06
Selin,Celik,selin.celik39@example.com,5490000039,57,ADANA,TR,2026-02-09,139,5,78.43
Can,Sahin,can.sahin40@example.com,+90 550 000 0040,58,Ankara,TR,2026-02-10,140,1,79.80
Deniz,koc,DENIZ.KOC41@EXAMPLE.COM,5510000041,59,Istanbul,TR,2026-02-11,141,2,81.17
Ece,Erdem,ece.erdem42@example.com,0552-000-0042,60,Izmir,TR,2026-02-12,142,3,82.54
Burak,Kara,burak.kara43@example.com,abc-phone,61,Bursa,TR,2026-02-13,143,4,83.91
Derya,Veli,derya.veli44@example.com,(554) 000-0044,62,Konya,TR,2026-02-14,144,5,85.28
Kerem,Oz,kerem.oz45@example.com,+90 555 000 0045,63,Antalya,Turkey,2026-02-15,145,1,86.65
seda,  AYDIN  ,seda.aydin46@example.com,5560000046,64,Eskisehir,TR,2026-02-16,146,2,88.02
Yusuf,Yilmaz,yusuf.yilmaz47@example.com,5570000047,65,Adana,TR,17/02/2026,147,3,89.39
Enes,Yildiz,enes.yildiz48@example.com,5580000048,66,Ankara,TR,2026-02-18,148,4,90.76
Ayse,Ak,ayse.ak49@example.com,0559-000-0049,67,Istanbul,TR,2026-02-19,149,5,92.13
Mehmet,Can,mehmet.can50@example.com,+90 560 000 0050,68,Izmir,TR,2026-02-20,150,1,93.50
  ZEYNEP  ,Arslan,zeynep.arslan51@example.com,5610000051,69,  bursa ,TR,2026-02-21,151,2,94.87
Ali,Kaya,ali.kaya52@example.com,5620000052,70,KONYA,TR,2026-02-22,152,3,96.24
Elif,Polat,elif.polat53@,5630000053,71,Antalya,TR,2026-02-23,153,4,97.61
Murat,Demir,murat.demir54@example.com,5640000054,72,Eskisehir,Turkey,2026-02-24,154,5,98.98
Selin,Celik,selin.celik55@example.com,+90 565 000 0055,18,Adana,TR,2026-02-25,155,1,100.35
Can,Sahin,can.sahin56@example.com,0566-000-0056,19,Ankara,TR,2026-02-26,156,2,101.72
Deniz,Koc,deniz.koc57@example.com,5670000057,20,,TR,2026-02-27,157,3,103.09
Ece,Erdem,ece.erdem58@example.com,,21,Izmir,TR,2026-02-28,158,4,104.46
Burak,Kara,burak.kara59@example.com,5690000059,22,Bursa,TR,01.03.2026,159,5,105.83
Derya,Veli,derya.veli60@example.com,+90 570 000 0060,23,Konya,TR,2026-03-02,100,1,107.20
Kerem,Oz,kerem.oz61@example.com,5710000061,24,Antalya,TR,2026-03-03,101,2,108.57
Seda,Aydin,,5720000062,25,Eskisehir,TR,2026-03-04,102,3,109.94
Yusuf,  YILMAZ  ,yusuf.yilmaz63@example.com,0573-000-0063,26,Adana,Turkey,2026-03-05,103,4,111.31
Enes,yildiz,enes.yildiz64@example.com,5740000064,27,Ankara,TR,2026-03-06,104,5,112.68
Ayse,Ak,ayse.ak65@example.com,+90 575 000 0065,28,ISTANBUL,TR,2026-03-07,105,1,114.05
Mehmet,Can,mehmet.can66@example.com,(576) 000-0066,29,Izmir,TR,2026-03-08,106,2,115.42
Zeynep,Arslan,zeynep.arslan67@example.com,5770000067,-4,Bursa,TR,2026-03-09,107,3,116.79
  ALI  ,Kaya,ali.kaya68@example.com,5780000068,31,  konya ,TR,2026-03-10,108,4,118.16
elif,Polat,elif.polat69@example.com,5790000069,32,Antalya,TR,2026-03-11,109,5,119.53
Murat,Demir,murat.demir70@example.com,+90 580 000 0070,33,Eskisehir,TR,2026-03-12,110,1,120.90
Selin,Celik,selin.celik71@example.com,5810000071,156,Adana,TR,2026-03-13,111,2,122.27
Can,Sahin,can.sahin72@example.com,5820000072,35,Ankara,Turkey,2026-03-14,112,3,123.64
Deniz,Koc,deniz.koc73@example.com,5830000073,36,Istanbul,TR,2026-03-15,113,4,125.01
Ece,Erdem,ece.erdem74[at]example.com,5840000074,37,Izmir,TR,2026-03-16,114,5,126.38
Burak,Kara,burak.kara75@example.com,+90 585 000 0075,38,Bursa,TR,2026-03-17,115,1,127.75
Derya,Veli,derya.veli76@example.com,5860000076,39,,TR,2026-03-18,116,2,129.12
Kerem,Oz,kerem.oz77@example.com,0587-000-0077,40,Antalya,TR,2026-03-19,117,3,130.49
Seda,Aydin,seda.aydin78@example.com,5880000078,41,ESKISEHIR,TR,2026-03-20,118,4,131.86
Yusuf,Yilmaz,yusuf.yilmaz79@example.com,5890000079,42,Adana,TR,2026-03-21,119,5,-12.00
Enes,  YILDIZ  ,enes.yildiz80@example.com,+90 590 000 0080,43,Ankara,TR,2026-03-22,120,1,134.60
Ayse,Ak,ayse.ak81@example.com,5910000081,44,Istanbul,Turkey,2026-03-23,121,2,135.97
Mehmet,Can,MEHMET.CAN82@EXAMPLE.COM,5920000082,45,Izmir,TR,2026-03-24,122,3,137.34
Zeynep,Arslan,zeynep.arslan83@example.com,5930000083,yas,Bursa,TR,2026-03-25,123,4,138.71
Ali,Kaya,ali.kaya84@example.com,0594-000-0084,47,Konya,TR,2026-03-26,124,5,140.08
  ELIF  ,Polat,elif.polat85@example.com,+90 595 000 0085,48,  antalya ,TR,2026-03-27,125,1,141.45
Murat,Demir,murat.demir86@example.com,abc-phone,49,Eskisehir,TR,2026-03-28,126,2,142.82
Selin,celik,selin.celik87@example.com,,50,Adana,TR,2026-03-29,127,3,144.19
Can,Sahin,can.sahin88@example.com,(598) 000-0088,51,Ankara,TR,2026-03-30,128,4,145.56
Deniz,Koc,deniz.koc89@example.com,5990000089,52,Istanbul,TR,2026/31/05,129,5,146.93
Ece,Erdem,ece.erdem90@example.com,+90 510 000 0090,53,Izmir,Turkey,2026-04-01,130,1,148.30
Burak,Kara,burak.kara91@example.com,0511-000-0091,54,BURSA,TR,2026-04-02,131,2,149.67
derya,Veli,derya.veli92@example.com,5120000092,55,Konya,TR,2026-04-03,132,3,151.04
Kerem,Oz,,5130000093,56,Antalya,TR,2026-04-04,133,4,152.41
Seda,Aydin,seda.aydin94@example.com,5140000094,57,Eskisehir,TR,05/04/2026,134,5,153.78
Yusuf,Yilmaz,yusuf.yilmaz95@example.com,+90 515 000 0095,58,,TR,2026-04-06,135,1,155.15
Enes,Yildiz,enes.yildiz96@example.com,5160000096,59,Ankara,TR,2026-04-07,136,2,156.52
Ayse,  AK  ,ayse.ak97@example.com,5170000097,60,Istanbul,TR,2026-04-08,137,0,157.89
Mehmet,Can,mehmet.can98@example.com,0518-000-0098,61,Izmir,TR,2026-04-09,138,4,159.26
Zeynep,Arslan,zeynep.arslan99@example.com,(519) 000-0099,62,Bursa,Turkey,2026-04-10,139,5,160.63
Ali,Kaya,ali.kaya100@example.com,+90 520 000 0100,63,Konya,TR,2026-04-11,140,1,162.00
Elif,Polat,elif.polat101@example.com,5210000101,64,Antalya,TR,2026-04-12,141,2,163.37
  MURAT  ,Demir,murat.demir102@example.com,5220000102,65,  eskisehir ,TR,2026-04-13,142,3,164.74
Selin,Celik,selin.celik103@example.com,5230000103,66,Adana,TR,2026-04-14,143,4,166.11
Can,Sahin,can.sahin104@example.com,5240000104,67,ANKARA,TR,2026-04-15,144,5,167.48
Deniz,Koc,deniz.koc105@example.com,+90 525 000 0105,68,Istanbul,TR,2026-04-16,145,1,168.85
Ece,Erdem,ece.erdem106@,5260000106,69,Izmir,TR,2026-04-17,146,2,170.22
Burak,Kara,burak.kara107@example.com,5270000107,70,Bursa,TR,2026-04-18,147,3,171.59
Derya,Veli,derya.veli108@example.com,5280000108,71,Konya,Turkey,2026-04-19,148,4,172.96
Kerem,Oz,kerem.oz109@example.com,5290000109,72,Antalya,TR,2026-04-20,149,5,174.33
Seda,aydin,seda.aydin110@example.com,+90 530 000 0110,18,Eskisehir,TR,2026-04-21,150,1,175.70
Yusuf,Yilmaz,yusuf.yilmaz111[at]example.com,5310000111,19,Adana,TR,2026-04-22,151,2,177.07
Enes,Yildiz,enes.yildiz112@example.com,0532-000-0112,20,Ankara,TR,2026-04-23,152,3,178.44
Ayse,Ak,ayse.ak113@example.com,5330000113,21,Istanbul,TR,2026-04-24,153,4,179.81
Mehmet,  CAN  ,mehmet.can114@example.com,5340000114,22,,TR,2026-04-25,154,5,181.18
zeynep,Arslan,zeynep.arslan115@example.com,+90 535 000 0115,23,Bursa,TR,2026-04-26,155,1,182.55
Ali,Kaya,ali.kaya116@example.com,,24,Konya,TR,2026-04-27,156,2,183.92
Elif,Polat,elif.polat117@example.com,5370000117,25,ANTALYA,Turkey,2026-04-28,157,3,185.29
Murat,Demir,murat.demir118@example.com,5380000118,26,Eskisehir,TR,29.04.2026,158,4,186.66
  SELIN  ,Celik,selin.celik119@example.com,0539-000-0119,27,  adana ,TR,2026-04-30,159,5,188.03
Can,Sahin,can.sahin120@example.com,+90 540 000 0120,28,Ankara,TR,2026-05-01,100,1,189.40
Deniz,Koc,deniz.koc121@example.com,(541) 000-0121,29,Istanbul,TR,2026-05-02,101,2,190.77
Ece,Erdem,ece.erdem122@example.com,5420000122,30,Izmir,TR,2026-05-03,102,3,192.14
Burak,Kara,BURAK.KARA123@EXAMPLE.COM,5430000123,31,Bursa,TR,2026-05-04,103,4,193.51
Derya,Veli,,5440000124,32,Konya,TR,2026-05-05,104,5,194.88
Kerem,Oz,kerem.oz125@example.com,+90 545 000 0125,33,Antalya,TR,2026-05-06,105,1,196.25
Seda,Aydin,seda.aydin126@example.com,0546-000-0126,34,Eskisehir,Turkey,2026-05-07,106,2,197.62
Yusuf,Yilmaz,yusuf.yilmaz127@example.com,5470000127,35,Adana,TR,2026-05-08,107,3,198.99
Enes,Yildiz,enes.yildiz128@example.com,5480000128,36,Ankara,TR,2026-05-09,108,4,200.36
Ayse,Ak,ayse.ak129@example.com,abc-phone,37,Istanbul,TR,2026-05-10,109,5,201.73
Mehmet,Can,mehmet.can130@example.com,+90 550 000 0130,38,IZMIR,TR,2026-05-11,110,1,203.10
Zeynep,  ARSLAN  ,zeynep.arslan131@example.com,5510000131,39,Bursa,TR,2026-05-12,111,2,204.47
Ali,Kaya,ali.kaya132@example.com,(552) 000-0132,40,Konya,TR,2026-05-13,112,3,205.84
Elif,polat,elif.polat133@example.com,0553-000-0133,41,,TR,2026-05-14,113,4,207.21
Murat,Demir,murat.demir134@example.com,5540000134,-4,Eskisehir,TR,2026-05-15,114,5,208.58
Selin,Celik,selin.celik135@example.com,+90 555 000 0135,43,Adana,Turkey,2026-05-16,115,1,209.95
  CAN  ,Sahin,can.sahin136@example.com,5560000136,44,  ankara ,TR,2026-05-17,116,2,211.32
Deniz,Koc,deniz.koc137@example.com,5570000137,45,Istanbul,TR,2026-05-18,117,3,212.69
ece,Erdem,ece.erdem138@example.com,5580000138,46,Izmir,TR,2026-05-19,118,4,214.06
Burak,Kara,burak.kara139@example.com,5590000139,47,Bursa,TR,2026-05-20,119,5,215.43
Derya,Veli,derya.veli140@example.com,+90 560 000 0140,48,Konya,TR,2026-05-21,120,1,216.80
Kerem,Oz,kerem.oz141@example.com,5610000141,49,Antalya,TR,22/05/2026,121,2,218.17
Seda,Aydin,seda.aydin142@example.com,5620000142,156,Eskisehir,TR,2026-05-23,122,3,219.54
Yusuf,Yilmaz,yusuf.yilmaz143@example.com,(563) 000-0143,51,ADANA,TR,2026-05-24,123,4,220.91
Enes,Yildiz,enes.yildiz144@example.com,5640000144,52,Ankara,Turkey,2026-05-25,124,5,222.28
Ayse,Ak,ayse.ak145@example.com,,53,Istanbul,TR,2026-05-26,125,1,223.65
Mehmet,Can,mehmet.can146@example.com,5660000146,54,Izmir,TR,2026-05-27,126,2,225.02
Zeynep,Arslan,zeynep.arslan147@example.com,0567-000-0147,55,Bursa,TR,2026-05-28,127,3,226.39
Ali,  KAYA  ,ali.kaya148[at]example.com,5680000148,56,Konya,TR,2026-05-29,128,4,227.76
Elif,Polat,elif.polat149@example.com,5690000149,57,Antalya,TR,2026-05-30,129,5,229.13
Murat,Demir,murat.demir150@example.com,+90 570 000 0150,58,Eskisehir,TR,2026-05-31,130,1,230.50
Selin,Celik,selin.celik151@example.com,5710000151,59,Adana,TR,2026-06-01,131,2,231.87
Can,Sahin,can.sahin152@example.com,5720000152,60,,TR,2026-06-02,132,3,233.24
  DENIZ  ,Koc,deniz.koc153@example.com,5730000153,61,  istanbul ,Turkey,2026-06-03,133,4,234.61
Ece,Erdem,ece.erdem154@example.com,0574-000-0154,62,Izmir,TR,2026-06-04,134,5,235.98
Burak,Kara,,+90 575 000 0155,63,Bursa,TR,2026-06-05,135,1,237.35
Derya,veli,derya.veli156@example.com,5760000156,64,KONYA,TR,2026-06-06,136,2,238.72
Kerem,Oz,kerem.oz157@example.com,5770000157,65,Antalya,TR,2026-06-07,137,3,240.09
Seda,Aydin,seda.aydin158@example.com,5780000158,66,Eskisehir,TR,2026-06-08,138,4,-12.00
Yusuf,Yilmaz,yusuf.yilmaz159@,5790000159,67,Adana,TR,2026-06-09,139,5,242.83
Enes,Yildiz,enes.yildiz160@example.com,+90 580 000 0160,68,Ankara,TR,2026-06-10,140,1,244.20
ayse,Ak,ayse.ak161@example.com,0581-000-0161,69,Istanbul,TR,2026-06-11,141,2,245.57
Mehmet,Can,mehmet.can162@example.com,5820000162,70,Izmir,Turkey,2026-06-12,142,3,246.94
Zeynep,Arslan,zeynep.arslan163@example.com,5830000163,71,Bursa,TR,2026-06-13,143,4,248.31
Ali,Kaya,ALI.KAYA164@EXAMPLE.COM,5840000164,72,Konya,TR,2026-06-14,144,5,249.68
Elif,  POLAT  ,elif.polat165@example.com,+90 585 000 0165,18,Antalya,TR,2026-06-15,145,1,251.05
Murat,Demir,murat.demir166@example.com,5860000166,yas,Eskisehir,TR,2026-06-16,146,2,252.42
Selin,Celik,selin.celik167@example.com,5870000167,20,Adana,TR,2026-06-17,147,3,253.79
Can,Sahin,can.sahin168@example.com,0588-000-0168,21,Ankara,TR,2026-06-18,148,4,255.16
Deniz,Koc,deniz.koc169@example.com,5890000169,22,ISTANBUL,TR,2026-06-19,149,5,256.53
  ECE  ,Erdem,ece.erdem170@example.com,+90 590 000 0170,23,  izmir ,TR,2026-06-20,150,1,257.90
Burak,Kara,burak.kara171@example.com,5910000171,24,,Turkey,2026-06-21,151,2,259.27
Derya,Veli,derya.veli172@example.com,abc-phone,25,Konya,TR,2026-06-22,152,3,260.64
Kerem,Oz,kerem.oz173@example.com,5930000173,26,Antalya,TR,2026-06-23,153,4,262.01
Seda,Aydin,seda.aydin174@example.com,,27,Eskisehir,TR,2026-06-24,154,5,263.38
Yusuf,Yilmaz,yusuf.yilmaz175@example.com,+90 595 000 0175,28,Adana,TR,2026-06-25,155,1,264.75
Enes,Yildiz,enes.yildiz176@example.com,(596) 000-0176,29,Ankara,TR,2026-06-26,156,2,266.12
Ayse,Ak,ayse.ak177@example.com,5970000177,30,Istanbul,TR,27.06.2026,157,3,267.49
Mehmet,Can,mehmet.can178@example.com,5980000178,31,Izmir,TR,2026/31/05,158,4,268.86
Zeynep,arslan,zeynep.arslan179@example.com,5990000179,32,Bursa,TR,2026-06-29,159,5,270.23
Ali,Kaya,ali.kaya180@example.com,+90 510 000 0180,33,Konya,Turkey,2026-01-01,100,1,271.60
Elif,Polat,elif.polat181@example.com,5110000181,34,Antalya,TR,2026-01-02,101,2,272.97
Murat,  DEMIR  ,murat.demir182@example.com,0512-000-0182,35,ESKISEHIR,TR,2026-01-03,102,3,274.34
Selin,Celik,selin.celik183@example.com,5130000183,36,Adana,TR,2026-01-04,103,4,275.71
can,Sahin,can.sahin184@example.com,5140000184,37,Ankara,TR,2026-01-05,104,5,277.08
Deniz,Koc,deniz.koc185[at]example.com,+90 515 000 0185,38,Istanbul,TR,2026-01-06,105,1,278.45
Ece,Erdem,,5160000186,39,Izmir,TR,2026-01-07,106,2,279.82
  BURAK  ,Kara,burak.kara187@example.com,(517) 000-0187,40,  bursa ,TR,2026-01-08,107,3,281.19
Derya,Veli,derya.veli188@example.com,5180000188,41,Konya,TR,09/01/2026,108,4,282.56
Kerem,Oz,kerem.oz189@example.com,0519-000-0189,42,Antalya,Turkey,2026-01-10,109,5,283.93
Seda,Aydin,seda.aydin190@example.com,+90 520 000 0190,43,,TR,2026-01-11,110,1,285.30
Yusuf,Yilmaz,yusuf.yilmaz191@example.com,5210000191,44,Adana,TR,2026-01-12,111,2,286.67
Enes,Yildiz,enes.yildiz192@example.com,5220000192,45,Ankara,TR,2026-01-13,112,3,288.04
Ayse,Ak,ayse.ak193@example.com,5230000193,46,Istanbul,TR,2026-01-14,113,4,289.41
Mehmet,Can,mehmet.can194@example.com,5240000194,47,Izmir,TR,2026-01-15,114,0,290.78
Zeynep,Arslan,zeynep.arslan195@example.com,+90 525 000 0195,48,BURSA,TR,2026-01-16,115,1,292.15
Ali,Kaya,ali.kaya196@example.com,0526-000-0196,49,Konya,TR,2026-01-17,116,2,293.52
Elif,Polat,elif.polat197@example.com,5270000197,50,Antalya,TR,2026-01-18,117,3,294.89
Murat,Demir,murat.demir198@example.com,(528) 000-0198,51,Eskisehir,Turkey,2026-01-19,118,4,296.26
Selin,  CELIK  ,selin.celik199@example.com,5290000199,52,Adana,TR,2026-01-20,119,5,297.63
Can,Sahin,can.sahin200@example.com,+90 530 000 0200,53,Ankara,TR,2026-01-21,120,1,25.00
Deniz,Koc,deniz.koc201@example.com,5310000201,-4,Istanbul,TR,2026-01-22,121,2,26.37
Ece,erdem,ece.erdem202@example.com,5320000202,55,Izmir,TR,2026-01-23,122,3,27.74
Burak,Kara,burak.kara203@example.com,,56,Bursa,TR,2026-01-24,123,4,29.11
  DERYA  ,Veli,derya.veli204@example.com,5340000204,57,  konya ,TR,2026-01-25,124,5,30.48
Kerem,Oz,KEREM.OZ205@EXAMPLE.COM,+90 535 000 0205,58,Antalya,TR,2026-01-26,125,1,31.85
Seda,Aydin,seda.aydin206@example.com,5360000206,59,Eskisehir,TR,2026-01-27,126,2,33.22
yusuf,Yilmaz,yusuf.yilmaz207@example.com,5370000207,60,Adana,Turkey,2026-01-28,127,3,34.59
Enes,Yildiz,enes.yildiz208@example.com,5380000208,61,ANKARA,TR,2026-01-29,128,4,35.96
Ayse,Ak,ayse.ak209@example.com,(539) 000-0209,62,,TR,2026-01-30,129,5,37.33
Mehmet,Can,mehmet.can210@example.com,+90 540 000 0210,63,Izmir,TR,2026-01-31,130,1,38.70
Zeynep,Arslan,zeynep.arslan211@example.com,5410000211,64,Bursa,TR,2026-02-01,131,2,40.07
Ali,Kaya,ali.kaya212@,5420000212,65,Konya,TR,2026-02-02,132,3,41.44
Elif,Polat,elif.polat213@example.com,5430000213,156,Antalya,TR,2026-02-03,133,4,42.81
Murat,Demir,murat.demir214@example.com,5440000214,67,Eskisehir,TR,2026-02-04,134,5,44.18
Selin,Celik,selin.celik215@example.com,abc-phone,68,Adana,TR,2026-02-05,135,1,45.55
Can,  SAHIN  ,can.sahin216@example.com,5460000216,69,Ankara,Turkey,2026-02-06,136,2,46.92
Deniz,Koc,,0547-000-0217,70,Istanbul,TR,2026-02-07,137,3,48.29
Ece,Erdem,ece.erdem218@example.com,5480000218,71,Izmir,TR,2026-02-08,138,4,49.66
Burak,Kara,burak.kara219@example.com,5490000219,72,Bursa,TR,2026-02-09,139,5,51.03
Derya,Veli,derya.veli220@example.com,+90 550 000 0220,18,Konya,TR,2026-02-10,140,1,52.40
  KEREM  ,Oz,kerem.oz221@example.com,5510000221,19,ANTALYA,TR,2026-02-11,141,2,53.77
Seda,Aydin,seda.aydin222[at]example.com,5520000222,20,Eskisehir,TR,2026-02-12,142,3,55.14
Yusuf,Yilmaz,yusuf.yilmaz223@example.com,5530000223,21,Adana,TR,2026-02-13,143,4,56.51
Enes,Yildiz,enes.yildiz224@example.com,0554-000-0224,22,Ankara,TR,2026-02-14,144,5,57.88
Ayse,ak,ayse.ak225@example.com,+90 555 000 0225,23,Istanbul,Turkey,2026-02-15,145,1,59.25
Mehmet,Can,mehmet.can226@example.com,5560000226,24,Izmir,TR,2026-02-16,146,2,60.62
Zeynep,Arslan,zeynep.arslan227@example.com,5570000227,25,Bursa,TR,2026-02-17,147,3,61.99
Ali,Kaya,ali.kaya228@example.com,5580000228,26,,TR,2026-02-18,148,4,63.36
Elif,Polat,elif.polat229@example.com,5590000229,27,Antalya,TR,2026-02-19,149,5,64.73
murat,Demir,murat.demir230@example.com,+90 560 000 0230,28,Eskisehir,TR,2026-02-20,150,1,66.10
Selin,Celik,selin.celik231@example.com,0561-000-0231,29,Adana,TR,2026-02-21,151,2,67.47
Can,Sahin,can.sahin232@example.com,,30,Ankara,TR,2026-02-22,152,3,68.84
Deniz,  KOC  ,deniz.koc233@example.com,5630000233,31,Istanbul,TR,2026-02-23,153,4,70.21
Ece,Erdem,ece.erdem234@example.com,5640000234,32,IZMIR,Turkey,2026-02-24,154,5,71.58
Burak,Kara,burak.kara235@example.com,+90 565 000 0235,33,Bursa,TR,25/02/2026,155,1,72.95
Derya,Veli,derya.veli236@example.com,5660000236,34,Konya,TR,26.02.2026,156,2,74.32
Kerem,Oz,kerem.oz237@example.com,5670000237,35,Antalya,TR,2026-02-27,157,3,-12.00
  SEDA  ,Aydin,seda.aydin238@example.com,0568-000-0238,36,  eskisehir ,TR,2026-02-28,158,4,77.06
Yusuf,Yilmaz,yusuf.yilmaz239@example.com,5690000239,37,Adana,TR,2026-03-01,159,5,78.43
Enes,Yildiz,enes.yildiz240@example.com,+90 570 000 0240,38,Ankara,TR,2026-03-02,100,1,79.80
Ayse,Ak,ayse.ak241@example.com,5710000241,39,Istanbul,TR,2026-03-03,101,2,81.17
Mehmet,Can,mehmet.can242@example.com,(572) 000-0242,40,Izmir,TR,2026-03-04,102,3,82.54
Zeynep,Arslan,zeynep.arslan243@example.com,5730000243,41,Bursa,Turkey,2026-03-05,103,4,83.91
Ali,Kaya,ali.kaya244@example.com,5740000244,42,Konya,TR,2026-03-06,104,5,85.28
Elif,Polat,elif.polat245@example.com,+90 575 000 0245,43,Antalya,TR,2026-03-07,105,1,86.65
Murat,Demir,MURAT.DEMIR246@EXAMPLE.COM,5760000246,44,Eskisehir,TR,2026-03-08,106,2,88.02
Selin,Celik,selin.celik247@example.com,5770000247,45,,TR,2026-03-09,107,3,89.39
Can,sahin,,5780000248,46,Ankara,TR,2026-03-10,108,4,90.76
Deniz,Koc,deniz.koc249@example.com,5790000249,yas,Istanbul,TR,2026-03-11,109,5,92.13
 SEDA ,aydin,seda.aydin126@example.com,0546-000-0126,34,Eskisehir,Turkey,2026-05-07,106,2,197.62
Burak,Kara,burak.kara251@example.com,5810000251,49,Bursa,TR,2026-03-13,111,2,94.87
Derya,Veli,derya.veli252@example.com,0582-000-0252,50,Konya,Turkey,2026-03-14,112,3,96.24
kerem,Oz,kerem.oz253@example.com,(583) 000-0253,51,Antalya,TR,2026-03-15,113,4,97.61
Seda,Aydin,seda.aydin254@example.com,5840000254,52,Eskisehir,TR,2026-03-16,114,5,98.98
  YUSUF  ,Yilmaz,yusuf.yilmaz255@example.com,+90 585 000 0255,53,  adana ,TR,2026-03-17,115,1,100.35
Enes,Yildiz,enes.yildiz256@example.com,5860000256,54,Ankara,TR,2026-03-18,116,2,101.72
Ayse,Ak,ayse.ak257@example.com,5870000257,55,Istanbul,TR,2026-03-19,117,3,103.09
Mehmet,Can,mehmet.can258@example.com,abc-phone,56,Izmir,TR,2026-03-20,118,4,104.46
Zeynep,Arslan,zeynep.arslan259[at]example.com,0589-000-0259,57,Bursa,TR,2026-03-21,119,5,105.83
Ali,Kaya,ali.kaya260@example.com,+90 590 000 0260,58,KONYA,TR,2026-03-22,120,1,107.20
Elif,Polat,elif.polat261@example.com,,59,Antalya,Turkey,2026-03-23,121,2,108.57
Murat,Demir,murat.demir262@example.com,5920000262,60,Eskisehir,TR,2026-03-24,122,3,109.94
